"offense_category","offense_type","uncertainty_score","cost","description"
"burglary, conspiracy","property",0.05,0.00039225,"Conspiracy Burglary - Overnight Accommodation, No Person Present"
"traffic offense, minor","criminal traffic",0.7,0.000518,"Vehicle Turning Left"
"drug paraphernalia","drug",0.05,0.0003905,"No Person Shall Possess, Sell Any Drug Paraphernal"
"unarmed robbery","violent",0.2,0.0007705,"Robbery Of Motor Vehicle"
"rape","violent",0,0.00076625,"Rape of Child"
"rape","violent",0,0.000255,"Rape Forcible Compulsion"
"child molestation","violent",0.1,0.00090025,"Agg. Ind. Assault - Comp. Less Than 16"
"child molestation","violent",0.15,0.00107575,"Ind Asslt Person Less 16 Yrs Age"
"forgery/fraud","property",0.15,0.0003915,"Dec Bus Pract - False/Mis State Cred"
"taxation offense","property",0.1,0.000771,"Fail To Pay Over Taxes To Commonwealth"
"burglary, conspiracy","property",0.05,0.00026525,"Conspiracy Burglary - Not Adapted for Overnight Accommodation, No Person Present"
"not known/missing","not known/missing",1,0.000826,"Use Headphones"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 55 MPH In Other Loc By 25 MPH"
"invasion of privacy","public order",0.1,0.0005215,"Invasion of Privacy - transfer image by telephone, email,  internet, etc."
"receiving stolen property, conspiracy","property",0.05,0.00039275,"Conspiracy Receiving Stolen Property"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 15 MPH"
"offense against morals/decency","violent",0.35,0.001034,"Child Pornography"
"traffic offense, minor","criminal traffic",0.1,0.00039175,"Obedience to traffic control devices - hazardous condition"
"disorderly conduct offense","public order",0.05,0.0005215,"Fail To Disperse Upon Off'l Order"
"forgery/fraud","property",0.12,0.00064775,"Fraud Alter/Forg/Counter Title Reg Ins"
"public order offense, other","public order",0.7,0.000522,"Prohib. On Expenditures for Emission Inspection"
"forgery/fraud","property",0.1,0.0003915,"Theft By Deception-Fail To Correct"
"driving under the influence of alcohol","dui offense",0.3,0.00206675,"Drg Lic Sus/Rev Purs to Sec 3802/1547B1-2nd Violation"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 15 MPH"
"extortion/threat","violent",0.4,0.00051825,"Harassment - Comm. Repeatedly in Anonymous Manner"
"flight to avoid prosecution, attempted","public order",0.25,0.00142,"Flees In An Attempt To Evade A Police Officer"
"flight to avoid prosecution","criminal traffic",0.45,0.00115925,"Dr W/O Light To Avoid Ident Arrest"
"distribution, drug unspecified","drug",0.25,0.00064475,"Drug Delivery Resulting In Death"
"forgery/fraud, conspiracy","property",0.1,0.00052425,"Conspiracy Other Reason Access Device Is Unauth By Issuer"
"human trafficking, unspecified - adult or no age specified","violent",0.25,0.00104225,"Unlawful Restraint/ Involuntary Servitude"
"obstruction/resisting","public order",0.12,0.00064825,"Hinder App/Prosec-Harbor Or Conceal"
"offense against morals/decency, conspiracy","violent",0.1,0.000527,"Conspiracy Cruelty to Animals"
"traffic offense, minor","criminal traffic",0.05,0.00052,"Exceed Max Speed Lim Estb By 10 MPH"
"criminal trespass","property",0.1,0.0002595,"Criminal Trespass/Simple Trespasser"
"forgery/fraud","property",0.15,0.00064675,"Computer Trespass - Transfer Funds"
"obstruction/resisting","public order",0.1,0.000392,"Hinder App/Prosec-False Info To Leo"
"receiving stolen property, conspiracy","property",0.05,0.00026575,"Criminal Conspiracy Engaging Receiving Stolen Property"
"public order offense, other","public order",0.1,0.000393,"False Alarm To Agency Of Public Safety"
"criminal trespass","property",0.4,0.000386,"Def Tres Posted"
"traffic offense, minor","criminal traffic",0.05,0.000262,"No Turn Signal"
"offense against morals/decency","public order",0.1,0.00039675,"Public Urination Or Defication"
"other property offense","property",0.3,0.00051425,"Fail To Deliver Title"
"traffic offense, minor","criminal traffic",0.05,0.00026225,"Illegal Park in Intersection"
"aggravated assault","violent",0.1,0.00051825,"Strangulation - Blocking the Nose and Mouth of the Person"
"traffic offense, minor","criminal traffic",0.45,0.0009343,"Drg Lic Sus/Rev Purs To Sec 3731/1547b1"
"involuntary manslaughter","violent",0.45,0.00090525,"Dog Attack Causing Serious Injury or Death"
"not known/missing","not known/missing",0.05,0.000523,"Vaccination required; Certificate and Tag"
"kidnapping","violent",0.35,0.00038725,"Confined Within Premises of the Owner"
"public order offense, other","public order",0.25,0.00064875,"Harbor/Determ Dangerous Dog"
"forgery/fraud, attempted","property",0.1,0.000524,"Criminal Attempt Forgery - Utters Forged Writing"
"aggravated assault","violent",0.05,0.0005185,"Aggravated Assault - Fear of Imminent SBI designated individuals"
"traffic offense, minor","criminal traffic",0.1,0.00026425,"Exceed 55 MPH In Other Loc By 55 MPH"
"forgery/fraud, conspiracy","property",0.05,0.00052225,"Conspiracy Bad Checks"
"offense against morals/decency","public order",0.3,0.0006525,"False Reports of Child Abuse"
"public order offense, other","public order",0.15,0.00065075,"Harassment - Comm. Repeatedly and Inconvenient Hours"
"family or custody related offense","public order",0.15,0.0009055,"Concealment Of Whereabouts Of Child"
"invasion of privacy","public order",0.25,0.000775,"Harassment - Follow In Public Place"
"driving under the influence of alcohol","dui offense",0.05,0.00078375,"DUI: Minor - 1st Offense"
"traffic offense, minor","criminal traffic",0,0.00052025,"Exceed 55 MPH In Other Loc By 1 MPH"
"obstruction/resisting","public order",0.7,0.000774,"Refuse Inspection"
"forgery/fraud","property",0.05,0.000647,"False/Fraud/Incomp Insurance Claim"
"forgery/fraud","property",0.05,0.00039075,"Insurance/Intent To Defraud"
"statutory rape","violent",0.05,0.0003905,"Statutory Sexual Assault:  4-8 Years Older"
"probation violation","public order",0.7,0.00102925,"Fail to Verify Address/Be Photographed"
"criminal trespass","property",0.3,0.000643,"Unattended Vehicle on Private Property"
"other drug offense","drug",0.7,0.000644,"Hazardous/Physically offensive condition/Drugs"
"traffic offense, minor","criminal traffic",0.05,0.0002625,"U Turn Unsafely"
"forgery/fraud","property",0.1,0.000519,"Impersonating A Public Servant"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 21 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00052,"Exceed Max Speed Lim Estb By 22 MPH"
"destruction of property","property",0.05,0.00038825,"Criminal Mischief"
"fraudulent drug offense","drug",0.2,0.000648,"Furnishing Drug Free Urine-Use Or Attempt"
"fraudulent drug offense, attempted","drug",0.05,0.0005245,"Furnish Drug Free Urine-Unlawful Sale/Attempt"
"distribution, drug unspecified, attempted","drug",0.05,0.00052325,"Criminal Attempt Manufacture, Delivery, or Possession With Intent to Manufacture or Deliver"
"driving under the influence of alcohol","dui offense",0.05,0.00065575,"BAC .02 or Greater 2nd Offense"
"not known/missing","not known/missing",0.9,0.0003945,"Communications with 911"
"traffic offense, minor","criminal traffic",0.05,0.00052,"Exceed Max Speed Lim Estb By 20 MPH"
"aggravated assault","violent",0.05,0.00038875,"Aggravated assault by vehicle"
"violent offense, other","criminal traffic",0.7,0.00154325,"Careless Driving - Serious Bodily Injury"
"liquor law violation","public order",0.05,0.00039325,"Sell/Furnish Liquor Etc Minor"
"sexual assault","violent",0.1,0.0005135,"Indecent Assault Forcible Compulsion"
"sexual assault","violent",0.15,0.000642,"Agg. Ind. Assault - Forcible Compulsion"
"driving while intoxicated","dui offense",0.05,0.0005255,"DUI: Highest Rte of Alc (BAC .16+) 3rd Off"
"traffic offense, minor","criminal traffic",0.1,0.000392,"Obscured Plates - Prevent Reading at Reasonable Distance"
"possession/use of marijuana, conspiracy","drug",0.1,0.00039525,"Conspiracy Marijuana-Small Amt Personal Use"
"not known/missing","not known/missing",0.9,0.00039525,"Notice Of Violation/Required Corrections"
"traffic offense, minor","criminal traffic",0.05,0.00039075,"Improper Turn / Green Light"
"other property offense, attempt","property",0.1,0.0006475,"Criminal Attempt Contraband - Telecommunication Device"
"public order offense, other","public order",0.6,0.0012895,"Neglect of Animals - Sustenance/Water"
"habitual offender","public order",0.7,0.00064425,"Habitual Offenders"
"driving under the influence of alcohol","dui offense",0.05,0.000786,"DUI: Highest Rte of Alc (BAC .16+) 4th Off & Sub"
"driving under the influence of drugs","dui offense",0.05,0.00040075,"DUI: Controlled Substance or Metabolite 2nd Offense"
"liquor law violation","public order",0.05,0.000265,"Unlawful Sales Of Liquor"
"traffic offense, minor","criminal traffic",0.35,0.000518,"Drive Over Divider"
"traffic offense, minor","criminal traffic",0.05,0.00039025,"Fail to Yield Right"
"traffic offense, minor","criminal traffic",0.12,0.00051975,"Safety Restraints - child under 2 years"
"not known/missing","not known/missing",0.9,0.00052375,"Accidents Inv. Certain Vehicles - Testing Req."
"traffic offense, minor","criminal traffic",0.9,0.00051775,"Signal Lights"
"arson","violent",0.05,0.00038575,"Arson-Danger Of Death Or Bodily Inj"
"traffic offense, minor","criminal traffic",0.05,0.0002625,"Illegal Park In Safety Zone"
"traffic offense, minor","criminal traffic",0.05,0.000519,"Park Improp Two Way Highways"
"traffic offense, minor","criminal traffic",0.05,0.00039125,"Disregard Traffic Lane (Specified)"
"commercialized vice, attempted","public order",0.35,0.0005225,"Criminal Attempt Prom Pros-Inmate In House Of Prost/Business"
"traffic offense, minor","criminal traffic",0.05,0.0003905,"Have Improper Muffler"
"weapons offense, conspiracy","violent",0.2,0.0007755,"Conspiracy Possession Of Firearm Prohibited"
"weapons offense, conspiracy","public order",0.15,0.00077825,"Conspiracy Firearms Not To Be Carried W/O License"
"destruction of property, conspiracy","property",0.1,0.00039325,"Conspiracy Criminal Mischief - Damage Property"
"driving under the influence of drugs","dui offense",0.05,0.000529,"DUI: Controlled Substance - Impaired Ability - 3rd Offense"
"traffic offense, minor","criminal traffic",0.05,0.0005195,"Disregard Traffic Lane (Prohibited)"
"burglary, conspiracy","property",0.05,0.00026525,"Criminal Conspiracy Engaging Burglary - Overnight Accommodation, No Person Present"
"vehicular manslaughter","violent",0.05,0.00039125,"Careless Driving - Unintentional Death"
"aggravated assault, attempted","violent",0.05,0.000396,"Criminal Attempt Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference"
"armed robbery, attempted","violent",0.3,0.000902,"Criminal Attempt Robbery-Threat Immed Ser Injury"
"other drug offense","drug",0.2,0.00051625,"Poss Solv For Releas Toxic Vapors/Fumes"
"driving under the influence of drugs","dui offense",0.05,0.000657,"DUI: Solvent or Nox Substance - 1st Offense"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Obscured, Covered, or Inhibit Visibility to Plate"
"driving while intoxicated","dui offense",0.05,0.0012945,"DUI: Controlled Substance - Combination Alcholol/Drug - 4th & Subsequent Offense"
"other property offense","property",0.1,0.00038625,"Deposit Trash On Street"
"traffic offense, minor","criminal traffic",0.05,0.000391,"Improper Pass Right - Off Road"
"invasion of privacy","public order",0.05,0.00052125,"Invasion of Privacy - photograph, view, etc., intimate parts of other person"
"traffic offense, minor","criminal traffic",0.2,0.00064675,"Use Improp Class Of Lic"
"offense against morals/decency","public order",0.6,0.00077975,"Incest"
"other court offense","public order",0.2,0.000644,"False Swearing"
"criminal trespass","property",0.6,0.00051525,"Def  Tres Actual Communication to Leave School"
"extortion/threat","violent",0.2,0.00064575,"Theft Extort-Threat To Accuse Another"
"disorderly conduct offense","public order",0.2,0.00052025,"Disorderly Practices"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 37 MPH"
"destruction of property, conspiracy","property",0.1,0.00039425,"Conspiracy Crim'l Misch-Tamper W/Property"
"fraudulent drug offense","drug",0.3,0.00051925,"Adulte Misbrand Any Controlled Subst"
"traffic offense, minor","criminal traffic",0.05,0.00039075,"Parking prohibited - No parking zone"
"traffic offense, minor","criminal traffic",0.1,0.0003905,"U Turn Where View Limited"
"traffic offense, minor","criminal traffic",0.05,0.00052,"Exceed 35 MPH In Urban Dist 27 MPH"
"traffic offense, minor","criminal traffic",0.05,0.0005195,"Disregard Traffic Lane (3 Lane)"
"violent offense, other","violent",0.6,0.000773,"Retaliation For Past Official Action"
"traffic offense, minor","criminal traffic",0.05,0.000391,"Mand. Use Of Available Sidewalk"
"distribution, drug unspecified, conspiracy","drug",0.1,0.000396,"Criminal Conspiracy Engaging Manufacture, Delivery, or Possession With Intent to Manufacture or Deliver"
"weapons offense","violent",0.1,0.00038725,"Unlawful Device Making Equipment Possession"
"weapons offense, conspiracy","violent",0.1,0.00026375,"Conspiracy Unlawful Device Making Equipment Possession"
"forgery/fraud, conspiracy","property",0.05,0.00065225,"Conspiracy Posses Access Device Knowing Counterfeit, Altered"
"other property offense","property",0.05,0.0003875,"Abandoning Veh on Pub/Private Prop"
"offense against morals/decency","public order",0.15,0.0007805,"Voiding Human Excretion"
"liquor law violation","public order",0.05,0.000266,"Unlawfl To Trans/Possess Open Container Alcohol"
"child abuse","violent",0.05,0.00038475,"Endangering Welfare Of Children"
"aggravated assault","violent",0.05,0.0006455,"Aggravated Assault By Vehicle While Dui"
"vehicular manslaughter","violent",0.15,0.00064825,"Acc Involving Death/Person Injury-Not Properly Licensed"
"traffic offense, minor","criminal traffic",0.2,0.00064675,"Drive on right side of highway"
"public order offense, other","public order",0.3,0.0012885,"Fail to Register with PSP"
"statutory rape","violent",0.05,0.00039,"Statutory Sexual Assault:  11 Years Older"
"arson","property",0.15,0.00051325,"Arson-Inhabited Building Or Struct"
"traffic offense, minor","criminal traffic",0.65,0.000519,"Vehicle Entering Intersection/ Highways"
"armed robbery","violent",0.25,0.0006415,"Robbery-Inflict Threat Imm Bod Inj"
"traffic offense, minor","criminal traffic",0.3,0.00064775,"Accident Scene Clearance - Vehicle Not Require Towing"
"extortion/threat","violent",0.1,0.0006445,"Ethnic Intimidation"
"liquor law violation","public order",0.05,0.000393,"OPEN CONTAINERS PROHIBITED"
"assault of an officer","violent",0.15,0.0005185,"Disarming Law Enforcement Officer"
"fraudulent drug offense","drug",0.2,0.00064725,"Sell Noncont Subs Repres Subs Contr"
"public order offense, other, conspiracy","public order",0.7,0.00091,"Criminal Conspiracy Engaging Criminal Use Of Communication Facility"
"unarmed robbery, attempted","violent",0.2,0.00064825,"Criminal Attempt Robbery-Take Property Fr Other/Force"
"traffic offense, minor","criminal traffic",0.05,0.00026525,"Obedience to Authorized Person Directing Traffic - Uniformed Police Officer, etc"
"fraudulent drug offense, attempted","drug",0.2,0.0006525,"Criminal Attempt Acq Or Obt Poss Of Contr Subs Misre"
"public order offense, other","public order",0.45,0.00103275,"Fail to Notify Change in Address"
"traffic offense, minor","criminal traffic",0.05,0.0006475,"Driving/Parking On Sidewalks Prohibited"
"kidnapping, attempted","violent",0.2,0.00064675,"Lure Child Into Motor Vehicle"
"weapons offense","public order",0.35,0.00064475,"Carrying Firearm During Emergency"
"extortion/threat","violent",0.3,0.0006465,"Theft Extort-Threat To Commit Anothr Crm"
"riot","violent",0.1,0.00038325,"Riot-Intent To Commit Felony"
"involuntary manslaughter","violent",0,0.00039275,"Involuntary Manslaughter"
"kidnapping","violent",0.05,0.00038825,"Kidnapping of Minor - Facilitate Felony/Flight"
"not known/missing","not known/missing",0.95,0.00039425,"Stand Unattended"
"armed robbery, conspiracy","violent",0.15,0.00064625,"Criminal Solicitation Robbery-Threat Immed Ser Injury"
"burglary","property",0.05,0.0003885,"Burglary - Not Adapted for Overnight Accommodation, Person Present"
"public order offense, other","public order",0.3,0.001161,"Transient - Fail to Register with PSP"
"distribution, drug unspecified","drug",0.2,0.00102975,"Poss W/Int To Distr Nc Subs Res Contr"
"armed robbery, conspiracy","violent",0.05,0.00039,"Conspiracy Robbery-Inflict Serious Bodily Injury"
"financial crimes","property",0.25,0.00064175,"Deal In Proc Unl Act/Intent To Promote"
"sexual assault","violent",0.45,0.000769,"IDSI Person W/Mental Disability"
"destruction of property","property",0.2,0.00051625,"Unauthorized Modification Of Equipment"
"child molestation","violent",0.12,0.00051675,"Agg. Ind. Assault - Comp. Less Than 13 Years Old"
"aggravated assault, conspiracy","violent",0.05,0.00026725,"Conspiracy Aggravated Assault - Attempts to cause or causes BI with deadly weapon"
"possession/use, drug unspecified, attempted","drug",0.45,0.0005245,"Contraband/Controlled Substance"
"traffic offense, minor","criminal traffic",0.15,0.00051825,"Violate Light Regulations"
"child molestation","violent",0.1,0.00051575,"Ind Asslt Person Less 13 Yrs Age"
"offense against morals/decency","public order",0.25,0.0009095,"Dissem Photo/Film of Child Sex Acts"
"not known/missing","not known/missing",0.95,0.00026675,"Arrest Prior To Requisition"
"other property offense","property",0.3,0.00064325,"Alter/Obliterate Mark Of Identification"
"sexual assault","violent",0.1,0.00051325,"Indecent Assault Person Unconscious"
"hit and run driving with property damage","criminal traffic",0.6,0.00103725,"Fail To Not Police Depart Of Acci"
"forgery/fraud, conspiracy","property",0.05,0.0005255,"Criminal Conspiracy Engaging Access Device Is Counterfeit, Altered, Incomplete"
"theft, value unknown, conspiracy","property",0.1,0.0003965,"Criminal Conspiracy Engaging Theft By Decep-False Impression"
"traffic offense, minor","criminal traffic",0.05,0.000648,"Exceed Max Speed Lim Estb By 46 MPH"
"weapons offense","violent",0.2,0.0006425,"Discharging weapons/firearms"
"extortion/threat","violent",0.1,0.000518,"Terroristic Threats Cause Serious Public Inconv."
"liquor law violation","public order",0.05,0.00039325,"Unlawful Possession of Open Containers"
"other property offense","property",0.25,0.0005155,"Improperly Discard Television Set/Tube"
"simple assault","violent",0.35,0.001155,"Strikes, shoves, kicks or attempts/threatens care-dependent person"
"obstruction/resisting","violent",0.2,0.00090225,"Intim Witness/Victim Elude/Evade/Ignore"
"traffic offense, minor","criminal traffic",0.05,0.000391,"Not Wear Proper Headgear On Motorcycle"
"traffic offense, minor","criminal traffic",0.2,0.00039075,"Dr W/Unsecured Load"
"traffic offense, minor","criminal traffic",0.3,0.000775,"Improp Movement (Green Arrow)"
"public order offense, other","public order",0.15,0.0005205,"Panhandling And Solicitation"
"not known/missing","not known/missing",0.95,0.0003945,"Risking Catastrophe"
"not known/missing","not known/missing",0.9,0.00064975,"Conspiracy"
"unspecified homicide","violent",0.9,0.0003865,"Criminal Homicide"
"auto theft","property",0.4,0.00102525,"False Rep Theft/Conversion Of Veh Police"
"armed robbery","violent",0.1,0.0007705,"Robbery-Commit Threat 1st/2nd Deg Fel"
"possession/use of marijuana","drug",0,0.00039125,"Personal Possession of Small Amount of Marijuana"
"traffic offense, minor","criminal traffic",0.05,0.000262,"Fail To Signal"
"forgery/fraud, conspiracy","property",0.2,0.00052275,"Conspiracy Diversion Of Services"
"bribery/conflict of interest","public order",0.15,0.00090875,"Restricted Activities - Conflict of Interest"
"traffic offense, minor","criminal traffic",0.05,0.00064825,"Exceed 25 MPH Residence Dist. By 35 MPH"
"liquor law violation","public order",0.4,0.00077825,"No One To Possess Alcohol/Dangerous Drug In Park"
"conspiracy to commit murder","violent",0.05,0.00026375,"Criminal Conspiracy Engaging Criminal Homicide"
"criminal trespass, conspiracy","property",0.1,0.00039225,"Criminal Conspiracy Aiding Crim Tres-Enter Structure"
"aggravated assault","violent",0.05,0.000389,"Agg. Assault Of Unborn Child"
"arson","property",0.1,0.0003885,"Reckless Burning or Exploding - places property having value that exceeds $5000 or automobile, place"
"arson, conspiracy","property",0.05,0.00052075,"Conspiracy Reckless Burning or Exploding - places property having value that exceeds $5000 or automobile, place"
"criminal trespass","property",0.1,0.00038775,"Trespass By Motor Vehicle-Pr Rd/Driveway"
"kidnapping","violent",0.1,0.00038925,"Unlawful Restraint of Minor/Parent - Risk of Bodily Injury"
"assault of an officer","violent",0.05,0.00039175,"Disarming Law Enforcement Officer - Without Lawful Authorization"
"traffic offense, minor","criminal traffic",0.05,0.00039025,"Display of Registration Plate"
"criminal trespass","property",0.1,0.0005155,"Malicious Loitering Or Prowling"
"disorderly conduct offense","public order",0.1,0.00052025,"Noise Disturbances"
"not known/missing","not known/missing",0.9,0.0002665,"Investigation By Police Officer"
"commercialized vice","public order",0.3,0.00064475,"Prom Pros-Procure Patron"
"traffic offense, minor","criminal traffic",0.1,0.00051775,"Illegal Racing"
"forgery/fraud","property",0.35,0.0007765,"Publ, Make, See, Etc Access Device Altered, Etc"
"traffic offense, minor","criminal traffic",0.4,0.000646,"No Reflectors"
"theft, value unknown, conspiracy","property",0.15,0.00039575,"Conspiracy Theft Of Services-Acquisition Of Services"
"receiving stolen property","property",0.25,0.0005175,"Knowledge That Property Is Proceeds of Illegal Act"
"not known/missing","not known/missing",0.95,0.00052225,"Statement Under Penalty"
"distribution, drug unspecified","drug",0.2,0.0003885,"Manuf Etc Controlled Substance"
"driving under the influence of alcohol","dui offense",0,0.000529,"DUI: Commercial Vehicle (BAC .04+) 1st Offense"
"traffic offense, minor","criminal traffic",0.15,0.000519,"Violate Restrictions Based on Traffic Conditions"
"obstruction/resisting","public order",0.05,0.0003905,"Obstructing Emergency Services"
"not known/missing","not known/missing",1,0.00052225,"Location Of Registration Permit"
"public order offense, other","public order",0.25,0.001035,"Unlawful To Loiter/Prowl Maliciously In Pub Place"
"possession/use, drug unspecified, conspiracy","drug",0.2,0.00091,"Conspiracy Int Poss Contr Subst By Per Not Reg"
"child abuse, conspiracy","violent",0.05,0.00051975,"Conspiracy Endangering Welfare of Children - Parent/Guardian/Other Commits Offense"
"burglary, conspiracy","violent",0.15,0.00077775,"Conspiracy Burglary - Overnight Accommodations; Person Present, Bodily Injury Crime"
"traffic offense, minor","criminal traffic",0,0.000264,"Exceed Max Speed Lim Estb By 1 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00051825,"Illegal Park Stand Double"
"kidnapping","violent",0.05,0.00038725,"Kidnap To Inflict Inj/Terror"
"weapons offense","public order",0.2,0.0011565,"Unlawful Body Armor"
"unarmed robbery, conspiracy","violent",0.15,0.00052,"Conspiracy Robbery-Take Property Fr Other/Force"
"unarmed robbery, conspiracy","violent",0.25,0.000521,"Criminal Conspiracy Engaging Robbery-Take Property Fr Other/Force"
"traffic offense, minor","criminal traffic",0.05,0.00039075,"Fail To Yield Right Of Way"
"other court offense","public order",0.05,0.00051575,"Perjury"
"traffic offense, minor","criminal traffic",0.05,0.0005195,"Disregard Red Signal (Pedestrian)"
"traffic offense, minor","criminal traffic",0.05,0.000647,"Periods For Requiring Lighted Lamps"
"offense against morals/decency","violent",0.2,0.00103675,"Cyber Harassment of a Child - Seriously Disparaging Statements, Etc"
"driving under the influence of alcohol","dui offense",0.05,0.00078525,"Ill Operate w/o Ig Int (BAC .025+) 1st Off"
"weapons offense","public order",0.05,0.00051875,"Unlawful To Fire Any Weapon/Firearm/rocket In City"
"attempted murder","violent",0.35,0.00077075,"Propel Missile Into Occ Vehicles"
"driving under the influence of drugs","dui offense",0.05,0.000401,"DUI: Controlled Substance - Metabolite - 2nd Offense"
"weapons offense","violent",0.25,0.00089925,"Inmate Procure Etc Self W Weapon"
"weapons offense","violent",0.05,0.0007725,"Poss.Of Firearm/Other Dangerous Weapon In Ct.Facil"
"traffic offense, minor","criminal traffic",0.35,0.000518,"Temporary Registration Plates"
"murder","violent",0,0.00038475,"Murder Of The Second Degree"
"obstruction/resisting","violent",0.45,0.001542,"Intim Wit/Vic - ABS Fr Lgl Pro"
"violent offense, other","violent",0.35,0.0007735,"Retaliation Against Prosecutor or Judicial Official"
"armed robbery, conspiracy","violent",0.05,0.000391,"Criminal Conspiracy Aiding Robbery-Inflict Serious Bodily Injury"
"unarmed robbery, conspiracy","violent",0.2,0.000649,"Criminal Conspiracy Aiding Robbery-Inflict Threat Imm Bod Inj"
"public order offense, other","public order",0.65,0.0011615,"Propulsion Of Missiles Onto Roadways"
"destruction of property","property",0.4,0.0005175,"Institutional Vandalism/Illegal Possession"
"forgery/fraud, conspiracy","property",0.2,0.000652,"Conspiracy Access Device Has Been Revoked Or Canceled"
"destruction of property","property",0.25,0.000389,"Institut'l Vand'ism Place Worship"
"liquor law violation","public order",0.05,0.00039175,"Open Containers"
"traffic offense, minor","criminal traffic",0.05,0.0003905,"Give Way to the Right"
"distribution of prescription drugs","drug",0.15,0.000517,"Sale Retail Of Drug Except Pharmacist"
"family or custody related offense","violent",0.15,0.0007755,"False Imprisonment of Minor/Parent"
"family or custody related offense, conspiracy","public order",0.12,0.00039775,"Conspiracy Interference W/Custody Of Children"
"child molestation","violent",0.1,0.00077375,"Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child"
"child molestation","violent",0.1,0.0005155,"Contact/Comm.W/Minor-Sexual Abuse"
"public order offense, other, conspiracy","public order",0.7,0.00167725,"Criminal Conspiracy Aiding Conspiracy"
"traffic offense, minor","criminal traffic",0.05,0.0002625,"Illegal Park on Crosswalk"
"traffic offense, minor","criminal traffic",0.7,0.00077525,"Impr Proc Into Intersec Pedestrian"
"disorderly conduct offense","public order",0.6,0.00052,"NOISE LEVEL"
"forgery/fraud","property",0.2,0.00039175,"Dissem/Pub Of False/Mislead Adv"
"traffic offense, minor","criminal traffic",0.2,0.00051925,"Impro Pass Of Veh Stopped Pedestrian"
"weapons offense","violent",0.15,0.00090025,"Person Not To Possess, Use, Etc. Firearms"
"destruction of property","property",0.7,0.00051725,"Institut'l Vand'ism Adjacent Ground"
"public order offense, other","public order",0.05,0.00026475,"Deposit Of Litter Prohibited"
"liquor law violation","public order",0.2,0.00052275,"Prohibtd Conduct Ownr; Minor In Estab Past Curfew"
"weapons offense","public order",0.8,0.00115625,"Prohibited Possession"
"destruction of property","property",0.05,0.00039075,"Intentionally Defaces Property By Discharging a Paintball Gun or Marker"
"weapons offense","public order",0.45,0.000901,"Paintball Gun or Marker Not Empty"
"disorderly conduct offense","public order",0.25,0.00052175,"Criminal Solicitation Disorderly Conduct Engage In Fighting"
"not known/missing","not known/missing",0,0.00065225,"Learner accompanied - at least 18/21 yrs old"
"contempt of court/violate court order","public order",0.2,0.00078425,"Default In Required Appearance"
"disorderly conduct offense","public order",0.1,0.000394,"Permitting violation of title Disorderly Conduct Engage In Fighting"
"immigration violation","public order",0.25,0.00077225,"Stowaways prohibited"
"traffic offense, minor","criminal traffic",0.25,0.00103025,"Permit Unlicensed Dr"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 35 MPH In Urban Dist By 20 MPH"
"weapons offense","violent",0.25,0.00064375,"Possesses Incapacitation Device W/ Int"
"weapons offense, conspiracy","violent",0.2,0.0005205,"Conspiracy Make Repairs/Sell/Etc Offens Weap"
"contributing to the delinquency of a minor, conspiracy","public order",0.15,0.001173,"Conspiracy Corruption of Minors"
"destruction of property, conspiracy","property",0.05,0.00039525,"Conspiracy Intentionally Defaces Property By Discharging a Paintball Gun or Marker"
"disorderly conduct offense, conspiracy","public order",0.2,0.000398,"Conspiracy Disorderly Conduct Hazardous/Physi Off"
"weapons offense, conspiracy","violent",0.3,0.0007765,"Conspiracy Individual May Not Carry Paintball gun or Marker in Vehicle"
"weapons offense","violent",0.1,0.00064375,"Person Not To Possess Use Etc. Firearms"
"public order offense, other","public order",0.15,0.00052225,"Disrupt, delay, prevent oper. of train or facility"
"traffic offense, minor","criminal traffic",0.15,0.000519,"Improp Child Restraint System"
"kidnapping","violent",0.05,0.00038725,"Kidnap To Facilitate A Felony"
"sexual assault","violent",0.1,0.00051375,"Indecent Assault Threat Forcible Compulsion"
"fraudulent drug offense, conspiracy","drug",0.06,0.00052375,"Conspiracy Sell Noncont Subs Repres Subs Contr"
"traffic offense, minor","criminal traffic",0,0.00038975,"Illegal Turn"
"extortion/threat, conspiracy","violent",0.1,0.0006505,"Conspiracy Intim Wit/Vit - Refrain From Report"
"driving under the influence of drugs","dui offense",0.05,0.00040175,"DUI: Controlled Substance - Schedule 2 or 3 - 2nd Offense"
"traffic offense, minor","criminal traffic",0.1,0.000776,"Exceed 35 MPH In Urban Dist 26 MPH"
"driving under the influence of alcohol","dui offense",0.2,0.00065525,"Minor Prohibited/Operating W/Alcohol"
