"offense_category","offense_type","harm_level","harm_type","harm_score","action_type","uncertainty_score","description"
"sexual assault","violent","individual","physical",0.95,"occured",0.05,"Indecent Assault Forcible Compulsion"
"aggravated assault","violent","individual","physical",0.9,"occured",0.1,"Agg. Ind. Assault - Forcible Compulsion"
"driving under the influence of alcohol","dui offense","community","community safety",0.9,"occured",0.05,"DUI: Highest Rte of Alc (BAC .16+) 3rd Off"
"traffic offense, minor","criminal traffic","community","community safety",0.15,"occured",0.05,"Obscured Plates - Prevent Reading at Reasonable Distance"
"distribution marijuana, conspiracy","drug","individual","community safety",0.2,"conspiracy",0.3,"Conspiracy Marijuana-Small Amt Personal Use"
"public order offense, other","public order","community","community safety",0.1,"occured",0.8,"Notice Of Violation/Required Corrections"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Improper Turn / Green Light"
"other property offense, attempt","property","institutional","community safety",0.4,"attempted",0.3,"Criminal Attempt Contraband - Telecommunication Device"
"offense against morals/decency","public order","individual","physical",0.7,"occured",0.2,"Neglect of Animals - Sustenance/Water"
"habitual offender","public order","societal","community safety",0.3,"occured",0.4,"Habitual Offenders"
"driving under the influence of alcohol","dui offense","community","community safety",0.8,"occured",0.05,"DUI: Highest Rte of Alc (BAC .16+) 4th Off & Sub"
"driving under the influence of drugs","dui offense","community","community safety",0.7,"occured",0.1,"DUI: Controlled Substance or Metabolite 2nd Offense"
"liquor law violation","public order","community","community safety",0.2,"occured",0.1,"Unlawful Sales Of Liquor"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Drive Over Divider"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.3,"Fail to Yield Right"
"traffic offense, minor","criminal traffic","individual","community safety",0.3,"occured",0.1,"Safety Restraints - child under 2 years"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.6,"Accidents Inv. Certain Vehicles - Testing Req."
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.8,"Signal Lights"
"arson","violent","individual","physical",0.9,"occured",0.1,"Arson-Danger Of Death Or Bodily Inj"
"traffic offense, minor","public order","community","community safety",0.1,"occured",0.05,"Illegal Park In Safety Zone"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.2,"Park Improp Two Way Highways"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Disregard Traffic Lane (Specified)"
"commercialized vice, attempted","public order","community","community safety",0.4,"attempted",0.25,"Criminal Attempt Prom Pros-Inmate In House Of Prost/Business"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0,"Have Improper Muffler"
"weapons offense, conspiracy","public order","community","community safety",0.7,"conspiracy",0.1,"Conspiracy Possession Of Firearm Prohibited"
"weapons offense, conspiracy","public order","community","community safety",0.6,"conspiracy",0.15,"Conspiracy Firearms Not To Be Carried W/O License"
"destruction of property, conspiracy","property","individual","financial or economic",0.6,"conspiracy",0.2,"Conspiracy Criminal Mischief - Damage Property"
"driving under the influence of drugs","dui offense","community","community safety",0.8,"occured",0.05,"DUI: Controlled Substance - Impaired Ability - 3rd Offense"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Disregard Traffic Lane (Prohibited)"
"burglary, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.1,"Criminal Conspiracy Engaging Burglary - Overnight Accommodation, No Person Present"
"involuntary manslaughter","violent","individual","physical",1,"occured",0.1,"Careless Driving - Unintentional Death"
"aggravated assault, attempted","violent","individual","physical",0.95,"attempted",0.1,"Criminal Attempt Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference"
"armed robbery, attempted","violent","individual","emotional or psychological",0.8,"attempted",0.05,"Criminal Attempt Robbery-Threat Immed Ser Injury"
"other drug offense","drug","community","community safety",0.7,"occured",0.15,"Poss Solv For Releas Toxic Vapors/Fumes"
"driving under the influence of drugs","dui offense","community","community safety",0.7,"occured",0.1,"DUI: Solvent or Nox Substance - 1st Offense"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Obscured, Covered, or Inhibit Visibility to Plate"
"driving under the influence of drugs","dui offense","community","community safety",0.8,"occured",0.05,"DUI: Controlled Substance - Combination Alcholol/Drug - 4th & Subsequent Offense"
"public order offense, other","public order","community","community safety",0.3,"occured",0.1,"Deposit Trash On Street"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Improper Pass Right - Off Road"
"invasion of privacy","public order","individual","privacy",0.8,"occured",0.1,"Invasion of Privacy - photograph, view, etc., intimate parts of other person"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Use Improp Class Of Lic"
"offense against morals/decency","public order","individual","emotional or psychological",0.7,"occured",0.3,"Incest"
"contempt of court/violate court order","public order","institutional","emotional or psychological",0.3,"occured",0.2,"False Swearing"
"criminal trespass","public order","institutional","community safety",0.5,"occured",0.1,"Def  Tres Actual Communication to Leave School"
"extortion/threat","violent","individual","emotional or psychological",0.7,"occured",0.2,"Theft Extort-Threat To Accuse Another"
"disorderly conduct offense","public order","community","community safety",0.4,"occured",0.3,"Disorderly Practices"
"traffic offense, minor","criminal traffic","community","community safety",0.5,"occured",0.1,"Exceed 55 MPH In Other Loc By 37 MPH"
"other property offense, conspiracy","property","community","community safety",0.5,"conspiracy",0.2,"Conspiracy Crim'l Misch-Tamper W/Property"
"other drug offense","drug","societal","community safety",0.5,"occured",0.3,"Adulte Misbrand Any Controlled Subst"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Parking prohibited - No parking zone"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"U Turn Where View Limited"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 35 MPH In Urban Dist 27 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Disregard Traffic Lane (3 Lane)"
"obstruction/resisting","public order","individual","emotional or psychological",0.6,"occured",0.3,"Retaliation For Past Official Action"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Mand. Use Of Available Sidewalk"
"distribution, drug unspecified, conspiracy","drug","community","community safety",0.7,"conspiracy",0.1,"Criminal Conspiracy Engaging Manufacture, Delivery, or Possession With Intent to Manufacture or Deliver"
"possession of property crime tools","property","community","community safety",0.6,"occured",0.2,"Unlawful Device Making Equipment Possession"
"other property offense, conspiracy","property","community","community safety",0.6,"conspiracy",0.3,"Conspiracy Unlawful Device Making Equipment Possession"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.8,"conspiracy",0.1,"Conspiracy Posses Access Device Knowing Counterfeit, Altered"
"traffic offense, minor","public order","community","community safety",0.2,"occured",0.1,"Abandoning Veh on Pub/Private Prop"
"offense against morals/decency","public order","community","community safety",0.2,"occured",0.2,"Voiding Human Excretion"
"liquor law violation","public order","community","community safety",0.2,"occured",0.1,"Unlawfl To Trans/Possess Open Container Alcohol"
"child abuse","violent","individual","emotional or psychological",0.8,"occured",0.3,"Endangering Welfare Of Children"
"aggravated assault","violent","individual","physical",1,"occured",0.05,"Aggravated Assault By Vehicle While Dui"
"traffic offense, minor","criminal traffic","individual","physical",0.7,"occured",0.4,"Acc Involving Death/Person Injury-Not Properly Licensed"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Drive on right side of highway"
"public order offense, other","public order","community","community safety",0.5,"occured",0.2,"Fail to Register with PSP"
"statutory rape","violent","individual","emotional or psychological",0.8,"occured",0.1,"Statutory Sexual Assault:  11 Years Older"
"arson","property","individual","physical",0.95,"occured",0.05,"Arson-Inhabited Building Or Struct"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.4,"Vehicle Entering Intersection/ Highways"
"armed robbery","violent","individual","physical",1,"occured",0.05,"Robbery-Inflict Threat Imm Bod Inj"
"not known/missing","not known/missing","community","community safety",0,"occured",0.95,"Accident Scene Clearance - Vehicle Not Require Towing"
"public order offense, other","public order","community","emotional or psychological",0.7,"occured",0.25,"Ethnic Intimidation"
"liquor law violation","public order","community","community safety",0.2,"occured",0.05,"OPEN CONTAINERS PROHIBITED"
"assault of an officer","violent","individual","physical",0.8,"occured",0.1,"Disarming Law Enforcement Officer"
"fraudulent drug offense","drug","individual","emotional or psychological",0.7,"occured",0.15,"Sell Noncont Subs Repres Subs Contr"
"conspiracy to commit murder","public order","community","community safety",0.5,"conspiracy",0.7,"Criminal Conspiracy Engaging Criminal Use Of Communication Facility"
"unarmed robbery, attempted","violent","individual","physical",0.7,"attempted",0.1,"Criminal Attempt Robbery-Take Property Fr Other/Force"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Obedience to Authorized Person Directing Traffic - Uniformed Police Officer, etc"
"possession/use, drug unspecified, attempted","drug","individual","physical",0.6,"attempted",0.2,"Criminal Attempt Acq Or Obt Poss Of Contr Subs Misre"
"public order offense, other","public order","institutional","community safety",0.1,"occured",0.2,"Fail to Notify Change in Address"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Driving/Parking On Sidewalks Prohibited"
"child abuse","violent","individual","emotional or psychological",0.8,"occured",0.1,"Lure Child Into Motor Vehicle"
"weapons offense","public order","community","community safety",0.6,"occured",0.2,"Carrying Firearm During Emergency"
"extortion/threat","violent","individual","emotional or psychological",0.85,"occured",0.05,"Theft Extort-Threat To Commit Anothr Crm"
"riot, attempting to incite","public order","community","community safety",0.8,"occured",0.15,"Riot-Intent To Commit Felony"
"involuntary manslaughter","violent","individual","physical",1,"occured",0,"Involuntary Manslaughter"
"kidnapping","violent","individual","emotional or psychological",1,"occured",0.05,"Kidnapping of Minor - Facilitate Felony/Flight"
"not known/missing","public order","community","community safety",0.1,"occured",0.8,"Stand Unattended"
"armed robbery, conspiracy","violent","individual","emotional or psychological",0.8,"conspiracy",0.2,"Criminal Solicitation Robbery-Threat Immed Ser Injury"
"burglary","property","individual","emotional or psychological",0.7,"occured",0.1,"Burglary - Not Adapted for Overnight Accommodation, Person Present"
"contempt of court/violate court order","public order","community","community safety",0.6,"occured",0.15,"Transient - Fail to Register with PSP"
"distribution other controlled substances","drug","community","community safety",0.7,"occured",0.2,"Poss W/Int To Distr Nc Subs Res Contr"
"armed robbery, conspiracy","violent","individual","physical",1,"conspiracy",0.1,"Conspiracy Robbery-Inflict Serious Bodily Injury"
"distribution, drug unspecified","drug","community","community safety",0.65,"occured",0.3,"Deal In Proc Unl Act/Intent To Promote"
"sexual assault","violent","individual","emotional or psychological",1,"occured",0.1,"IDSI Person W/Mental Disability"
"destruction of property","property","individual","financial or economic",0.4,"occured",0.4,"Unauthorized Modification Of Equipment"
"aggravated assault","violent","individual","physical",1,"occured",0.1,"Agg. Ind. Assault - Comp. Less Than 13 Years Old"
"aggravated assault, conspiracy","violent","individual","physical",1,"conspiracy",0.05,"Conspiracy Aggravated Assault - Attempts to cause or causes BI with deadly weapon"
"other drug offense","drug","societal","community safety",0.7,"occured",0.4,"Contraband/Controlled Substance"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Violate Light Regulations"
"aggravated assault","violent","individual","physical",1,"occured",0.1,"Ind Asslt Person Less 13 Yrs Age"
"child molestation","violent","individual","emotional or psychological",1,"occured",0.1,"Dissem Photo/Film of Child Sex Acts"
"other court offense","public order","community","community safety",0.2,"occured",0.5,"Arrest Prior To Requisition"
"other property offense","property","community","community safety",0.3,"occured",0.2,"Alter/Obliterate Mark Of Identification"
"sexual assault","violent","individual","physical",1,"occured",0.1,"Indecent Assault Person Unconscious"
"hit and run driving with property damage","public order","individual","financial or economic",0.6,"occured",0.2,"Fail To Not Police Depart Of Acci"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.2,"Criminal Conspiracy Engaging Access Device Is Counterfeit, Altered, Incomplete"
"theft, value unknown, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.1,"Criminal Conspiracy Engaging Theft By Decep-False Impression"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed Max Speed Lim Estb By 46 MPH"
"weapons offense","public order","community","community safety",0.7,"occured",0.15,"Discharging weapons/firearms"
"extortion/threat","violent","community","community safety",0.9,"occured",0.2,"Terroristic Threats Cause Serious Public Inconv."
"liquor law violation","public order","community","community safety",0.1,"occured",0.05,"Unlawful Possession of Open Containers"
"public order offense, other","public order","community","community safety",0.1,"occured",0.2,"Improperly Discard Television Set/Tube"
"aggravated assault","violent","individual","physical",0.9,"occured",0.1,"Strikes, shoves, kicks or attempts/threatens care-dependent person"
"obstruction/resisting","public order","institutional","community safety",0.6,"occured",0.3,"Intim Witness/Victim Elude/Evade/Ignore"
"traffic offense, minor","criminal traffic","individual","physical",0.2,"occured",0.05,"Not Wear Proper Headgear On Motorcycle"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.15,"Dr W/Unsecured Load"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.2,"Improp Movement (Green Arrow)"
"public order offense, other","public order","community","community safety",0.1,"occured",0.2,"Panhandling And Solicitation"
"public order offense, other","public order","community","community safety",0.6,"occured",0.8,"Risking Catastrophe"
"not known/missing","not known/missing","societal","community safety",0.1,"conspiracy",1,"Conspiracy"
"unspecified homicide","violent","individual","physical",1,"occured",0.1,"Criminal Homicide"
"auto theft","property","individual","financial or economic",0.75,"occured",0.15,"False Rep Theft/Conversion Of Veh Police"
"armed robbery","violent","individual","emotional or psychological",0.85,"occured",0.1,"Robbery-Commit Threat 1st/2nd Deg Fel"
"possession/use of marijuana","drug","individual","community safety",0.1,"occured",0.05,"Personal Possession of Small Amount of Marijuana"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Fail To Signal"
"financial crimes conspiracy","property","institutional","financial or economic",0.7,"conspiracy",0.25,"Conspiracy Diversion Of Services"
"bribery/conflict of interest","public order","institutional","financial or economic",0.6,"occured",0.1,"Restricted Activities - Conflict of Interest"
"traffic offense, minor","criminal traffic","community","community safety",0.5,"occured",0.1,"Exceed 25 MPH Residence Dist. By 35 MPH"
"liquor law violation","public order","community","community safety",0.1,"occured",0.1,"No One To Possess Alcohol/Dangerous Drug In Park"
"conspiracy to commit murder","violent","individual","physical",1,"conspiracy",0.1,"Criminal Conspiracy Engaging Criminal Homicide"
"criminal trespass, conspiracy","property","individual","privacy",0.3,"conspiracy",0.1,"Criminal Conspiracy Aiding Crim Tres-Enter Structure"
"aggravated assault","violent","individual","physical",1,"occured",0.05,"Agg. Assault Of Unborn Child"
"arson","property","individual","financial or economic",0.7,"occured",0.1,"Reckless Burning or Exploding - places property having value that exceeds $5000 or automobile, place"
"arson, conspiracy","property","community","community safety",0.7,"conspiracy",0.1,"Conspiracy Reckless Burning or Exploding - places property having value that exceeds $5000 or automobile, place"
"criminal trespass","property","individual","privacy",0.4,"occured",0.1,"Trespass By Motor Vehicle-Pr Rd/Driveway"
"kidnapping","violent","individual","physical",0.85,"occured",0.2,"Unlawful Restraint of Minor/Parent - Risk of Bodily Injury"
"assault of an officer","violent","individual","physical",0.9,"occured",0.05,"Disarming Law Enforcement Officer - Without Lawful Authorization"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Display of Registration Plate"
"public order offense, other","public order","community","community safety",0.3,"occured",0.2,"Malicious Loitering Or Prowling"
"disorderly conduct offense","public order","community","community safety",0.2,"occured",0.1,"Noise Disturbances"
"not known/missing","not known/missing","community","community safety",0,"occured",0.9,"Investigation By Police Officer"
"commercialized vice","public order","community","community safety",0.5,"occured",0.4,"Prom Pros-Procure Patron"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.2,"Illegal Racing"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.2,"Publ, Make, See, Etc Access Device Altered, Etc"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.2,"No Reflectors"
"theft, value unknown, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.1,"Conspiracy Theft Of Services-Acquisition Of Services"
"other property offense","property","societal","financial or economic",0.4,"occured",0.3,"Knowledge That Property Is Proceeds of Illegal Act"
"not known/missing","not known/missing","individual","emotional or psychological",0,"occured",1,"Statement Under Penalty"
"distribution other controlled substances","drug","community","community safety",0.7,"occured",0.3,"Manuf Etc Controlled Substance"
"driving under the influence of alcohol","dui offense","community","community safety",0.7,"occured",0.05,"DUI: Commercial Vehicle (BAC .04+) 1st Offense"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Violate Restrictions Based on Traffic Conditions"
"obstruction/resisting","public order","community","community safety",0.7,"occured",0.1,"Obstructing Emergency Services"
"not known/missing","not known/missing","individual","financial or economic",0,"occured",0.95,"Location Of Registration Permit"
"disorderly conduct offense","public order","community","community safety",0.3,"occured",0.1,"Unlawful To Loiter/Prowl Maliciously In Pub Place"
"possession/use, drug unspecified, conspiracy","drug","individual","emotional or psychological",0.3,"conspiracy",0.3,"Conspiracy Int Poss Contr Subst By Per Not Reg"
"child abuse, conspiracy","violent","individual","emotional or psychological",1,"conspiracy",0.1,"Conspiracy Endangering Welfare of Children - Parent/Guardian/Other Commits Offense"
"burglary, conspiracy","property","individual","physical",0.9,"conspiracy",0.15,"Conspiracy Burglary - Overnight Accommodations; Person Present, Bodily Injury Crime"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0,"Exceed Max Speed Lim Estb By 1 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Illegal Park Stand Double"
"kidnapping","violent","individual","emotional or psychological",1,"occured",0.1,"Kidnap To Inflict Inj/Terror"
"public order offense, other","public order","community","community safety",0.2,"occured",0.3,"Unlawful Body Armor"
"armed robbery, conspiracy","violent","individual","physical",1,"conspiracy",0.1,"Conspiracy Robbery-Take Property Fr Other/Force"
"armed robbery, conspiracy","violent","individual","physical",0.95,"conspiracy",0.05,"Criminal Conspiracy Engaging Robbery-Take Property Fr Other/Force"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Fail To Yield Right Of Way"
"other court offense","public order","institutional","community safety",0.5,"occured",0.1,"Perjury"
"traffic offense, minor","criminal traffic","individual","community safety",0.2,"occured",0.1,"Disregard Red Signal (Pedestrian)"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Periods For Requiring Lighted Lamps"
"child abuse","violent","individual","emotional or psychological",0.85,"occured",0.1,"Cyber Harassment of a Child - Seriously Disparaging Statements, Etc"
"driving under the influence of alcohol","dui offense","community","community safety",0.7,"occured",0.05,"Ill Operate w/o Ig Int (BAC .025+) 1st Off"
"weapons offense","public order","community","community safety",0.7,"occured",0.1,"Unlawful To Fire Any Weapon/Firearm/rocket In City"
"violent offense, other","violent","individual","physical",0.85,"occured",0.1,"Propel Missile Into Occ Vehicles"
"driving under the influence of drugs","dui offense","community","community safety",0.7,"occured",0.05,"DUI: Controlled Substance - Metabolite - 2nd Offense"
"weapons offense","public order","community","community safety",0.6,"occured",0.3,"Inmate Procure Etc Self W Weapon"
"weapons offense","public order","community","community safety",0.7,"occured",0.1,"Poss.Of Firearm/Other Dangerous Weapon In Ct.Facil"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.5,"Temporary Registration Plates"
"murder","violent","individual","physical",1,"occured",0,"Murder Of The Second Degree"
"contempt of court/violate court order","public order","institutional","community safety",0.7,"occured",0.4,"Intim Wit/Vic - ABS Fr Lgl Pro"
"violent offense, other","violent","individual","emotional or psychological",0.7,"occured",0.2,"Retaliation Against Prosecutor or Judicial Official"
"armed robbery, conspiracy","violent","individual","physical",0.95,"conspiracy",0.1,"Criminal Conspiracy Aiding Robbery-Inflict Serious Bodily Injury"
"armed robbery, conspiracy","violent","individual","physical",0.9,"conspiracy",0.1,"Criminal Conspiracy Aiding Robbery-Inflict Threat Imm Bod Inj"
"public order offense, other","public order","community","community safety",0.6,"occured",0.3,"Propulsion Of Missiles Onto Roadways"
"destruction of property","property","institutional","financial or economic",0.7,"occured",0.4,"Institutional Vandalism/Illegal Possession"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.8,"conspiracy",0.15,"Conspiracy Access Device Has Been Revoked Or Canceled"
"destruction of property","property","community","community safety",0.8,"occured",0.1,"Institut'l Vand'ism Place Worship"
"liquor law violation","public order","community","community safety",0.2,"occured",0.1,"Open Containers"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.15,"Give Way to the Right"
"distribution, drug unspecified","drug","community","community safety",0.7,"occured",0.2,"Sale Retail Of Drug Except Pharmacist"
"kidnapping","violent","individual","emotional or psychological",0.85,"occured",0.1,"False Imprisonment of Minor/Parent"
"family or custody related offense, conspiracy","public order","individual","emotional or psychological",0.6,"conspiracy",0.15,"Conspiracy Interference W/Custody Of Children"
"child molestation","violent","individual","emotional or psychological",1,"occured",0.1,"Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child"
"child molestation","violent","individual","emotional or psychological",1,"occured",0.05,"Contact/Comm.W/Minor-Sexual Abuse"
"public order offense, other, conspiracy","public order","societal","community safety",0.2,"conspiracy",0.5,"Criminal Conspiracy Aiding Conspiracy"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0,"Illegal Park on Crosswalk"
"traffic offense, minor","criminal traffic","individual","physical",0.5,"occured",0.4,"Impr Proc Into Intersec Pedestrian"
"disorderly conduct offense","public order","community","community safety",0.2,"occured",0.15,"NOISE LEVEL"
"public order offense, other","public order","community","community safety",0.4,"occured",0.2,"Dissem/Pub Of False/Mislead Adv"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.2,"Impro Pass Of Veh Stopped Pedestrian"
"weapons offense","public order","community","community safety",0.6,"occured",0.1,"Person Not To Possess, Use, Etc. Firearms"
"destruction of property","property","institutional","financial or economic",0.6,"occured",0.1,"Institut'l Vand'ism Adjacent Ground"
"public order offense, other","public order","community","community safety",0.2,"occured",0.1,"Deposit Of Litter Prohibited"
"offense against morals/decency","public order","community","community safety",0.35,"occured",0.3,"Prohibtd Conduct Ownr; Minor In Estab Past Curfew"
"weapons offense","public order","community","community safety",0.6,"occured",0.25,"Prohibited Possession"
"destruction of property","property","individual","financial or economic",0.5,"occured",0.1,"Intentionally Defaces Property By Discharging a Paintball Gun or Marker"
"weapons offense","public order","community","community safety",0.2,"occured",0.3,"Paintball Gun or Marker Not Empty"
"disorderly conduct offense","public order","community","community safety",0.3,"occured",0.1,"Criminal Solicitation Disorderly Conduct Engage In Fighting"
"not known/missing","not known/missing","individual","emotional or psychological",0.1,"occured",0.75,"Learner accompanied - at least 18/21 yrs old"
"contempt of court/violate court order","public order","institutional","community safety",0.3,"occured",0.15,"Default In Required Appearance"
"disorderly conduct offense","public order","community","community safety",0.5,"occured",0.3,"Permitting violation of title Disorderly Conduct Engage In Fighting"
"public order offense, other","public order","community","community safety",0.3,"occured",0.3,"Stowaways prohibited"
"traffic offense, minor","criminal traffic","community","community safety",0.5,"occured",0.1,"Permit Unlicensed Dr"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.1,"Exceed 35 MPH In Urban Dist By 20 MPH"
"weapons offense","public order","community","community safety",0.7,"occured",0.2,"Possesses Incapacitation Device W/ Int"
"weapons offense, conspiracy","public order","community","community safety",0.7,"conspiracy",0.15,"Conspiracy Make Repairs/Sell/Etc Offens Weap"
"contributing to the delinquency of a minor, conspiracy","public order","individual","emotional or psychological",0.7,"conspiracy",0.3,"Conspiracy Corruption of Minors"
"destruction of property, conspiracy","property","individual","financial or economic",0.4,"conspiracy",0.2,"Conspiracy Intentionally Defaces Property By Discharging a Paintball Gun or Marker"
"disorderly conduct offense, conspiracy","public order","community","community safety",0.4,"conspiracy",0.3,"Conspiracy Disorderly Conduct Hazardous/Physi Off"
"public order offense, other, conspiracy","public order","community","community safety",0.1,"conspiracy",0.3,"Conspiracy Individual May Not Carry Paintball gun or Marker in Vehicle"
"weapons offense","public order","community","community safety",0.7,"occured",0.1,"Person Not To Possess Use Etc. Firearms"
"public order offense, other","public order","community","community safety",0.8,"occured",0.1,"Disrupt, delay, prevent oper. of train or facility"
"traffic offense, minor","public order","individual","physical",0.4,"occured",0.1,"Improp Child Restraint System"
"kidnapping","violent","individual","physical",0.9,"occured",0.1,"Kidnap To Facilitate A Felony"
"sexual assault","violent","individual","emotional or psychological",0.8,"occured",0.1,"Indecent Assault Threat Forcible Compulsion"
"distribution other controlled substances, conspiracy","drug","community","community safety",0.7,"conspiracy",0.2,"Conspiracy Sell Noncont Subs Repres Subs Contr"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Illegal Turn"
"obstruction/resisting, conspiracy","public order","individual","emotional or psychological",0.6,"conspiracy",0.2,"Conspiracy Intim Wit/Vit - Refrain From Report"
"driving under the influence of drugs","dui offense","individual","community safety",0.7,"occured",0.1,"DUI: Controlled Substance - Schedule 2 or 3 - 2nd Offense"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Exceed 35 MPH In Urban Dist 26 MPH"
"liquor law violation","public order","community","community safety",0.2,"occured",0.15,"Minor Prohibited/Operating W/Alcohol"
"driving under the influence of alcohol","dui offense","community","community safety",0.7,"occured",0.05,"DUI: Gen Imp (BAC .08 - .10) 3rd Off"
"disorderly conduct offense","public order","community","community safety",0.4,"occured",0.15,"Intoxi Pedest Causing Hazard"
"disorderly conduct offense","public order","community","community safety",0.5,"occured",0.2,"Disorderly Conduct Engage in Fighting"
"sexual assault","violent","individual","emotional or psychological",0.95,"occured",0.1,"School - Intercourse/Sexual Contact with Student"
"contempt of court/violate court order","public order","institutional","privacy",0.2,"occured",0.1,"Unlawful Use of An Audio or Video Device in Court"
"forgery/fraud","property","institutional","financial or economic",0.8,"occured",0.05,"Fraud Obt Foodstamps/Assistance"
"public order offense, other","public order","societal","financial or economic",0.45,"occured",0.2,"Buying/Exchanging Federal Food Stamps"
"criminal trespass","property","community","community safety",0.4,"occured",0.6,"Impr Emergence Alley Driveway Or Bldg"
"weapons offense","public order","individual","physical",0.6,"occured",0.3,"Uses Incapacitation Device"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Operating Without Lights"
"driving under the influence of alcohol","dui offense","community","community safety",0.7,"occured",0.2,"Permitting Violation - BAC .02 or Greater 2nd Offense"
"traffic offense, minor","criminal traffic","individual","physical",0.4,"occured",0.15,"Fail To Yield Right Of Way To Ped"
"drug paraphernalia","drug","individual","community safety",0.1,"occured",0.05,"Personal Possession of Marijuana Paraphernalia"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.1,"Improper Entering To Intersection"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Exceed 35 MPH In Urban Dist 34 MPH"
"weapons offense","public order","community","community safety",0.6,"occured",0.1,"Unlawful For Minor To Have Any Firearm W/O Parent"
"murder","violent","individual","physical",1,"occured",0,"Murder Of The First Degree"
"conspiracy to commit murder","violent","individual","physical",1,"conspiracy",0,"Conspiracy Murder Of The First Degree"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Improp Turn (Green Light)"
"simple assault, conspiracy","violent","individual","physical",0.6,"conspiracy",0.1,"Criminal Conspiracy Engaging Simple Assault"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.3,"One-Way Roadways"
"public order offense, other","public order","community","community safety",0.1,"occured",0.7,"Investigation By Officer/Duty Of Operator"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Approach Intersection Improper"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Improper Pass"
"hit and run driving with property damage","property","community","community safety",0.6,"occured",0.25,"Accidents/Reports - Duty To Stop And Provide Info"
